['Retail', 'Certified', '37207', 'SHEENA LLC DBA FIRESHOUSE LIQOURS', 'Management Analysts', 'INDIA']
['IT', 'Certified', '37208', 'ZYCRON, INC.', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '37201', 'QUALIFACTS SYSTEMS, INC.', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '37211', 'EMIDS TECHNOLOGIES PRIVATE LIMITED', 'Computer Systems Analysts', 'INDIA']
['Retail', 'Certified', '37214', 'SOUTHWESTERN GREAT AMERICAN INC', 'Human Resources Managers', 'TURKEY']
['Other Economic Sector', 'Certified', '37212', 'CENTRAL PARKING SYSTEM, INC.', 'Database Administrators', 'INDIA']
['IT', 'Certified', '37211', 'EMIDS TECHNOLOGIES PRIVATE LIMITED', 'Computer and Information Systems Managers', 'INDIA']
['Advanced Mfg', 'Certified', '37214', 'BRIDGESTONE AMERICAS, INC.', 'Information Security Analysts, Web Developers, and Computer Network Architects', 'MEXICO']
['Advanced Mfg', 'Certified', '37214', 'BRIDGESTONE AMERICAS, INC.', 'Materials Scientists', 'TURKEY']
['IT', 'Certified', '37203', 'INFORMATICS CORPORATION OF AMERICA', 'Computer and Information Systems Managers', 'CHINA']
['IT', 'Certified', '37201', 'QUALIFACTS SYSTEMS, INC.', 'Software Developers, Systems Software', 'INDIA']
['Other Economic Sector', 'Certified', '37212', 'CENTRAL PARKING SYSTEM, INC.', 'Computer and Information Systems Managers', 'INDIA']
['', 'Certified', '37203', 'MOLECULAR SENSING, INC.', 'Chemical Engineers', 'CHINA']
['IT', 'Certified', '37203', 'PATIENT LOGIC, INC.', 'Computer and Information Systems Managers', 'INDIA']
['Health Care', 'Certified', '37203', 'GENETICS ASSOCIATES, INC', 'Medical and Clinical Laboratory Technologists', 'CHINA']
['Finance', 'Certified', '37214', 'EMDEON BUSINESS SERVICES LLC', 'Software Developers, Applications', 'INDIA']
['Hospitality', 'Certified', '37203', 'REALTY NASHVILLE REGION, LLC', 'Computer Systems Analysts', 'INDIA']
['IT', 'Certified', '37203', 'HEALTHSTREAM, INC.', 'Survey Researchers', 'NIGERIA']
['Other Economic Sector', 'Certified', '37203', 'SITEL OPERATING CORPORATION', 'Computer Systems Analysts', 'CANADA']
['IT', 'Certified', '37214', "KIRKLAND'S INC", 'Computer Systems Analysts', 'INDIA']
['IT', 'Certified', '37214', "KIRKLAND'S INC", 'Computer Systems Analysts', 'INDIA']
['Educational Services', 'Certified', '37212', 'BELMONT UNIVERSITY', 'Foreign Language and Literature Teachers, Postsecondary', 'CHINA']
['IT', 'Certified', '37214', 'AUTOMATED LICENSE SYSTEMS, INC.', 'Computer Programmers', 'INDIA']
['Advanced Mfg', 'Certified', '37214', 'BRIDGESTONE AMERICAS, INC.', 'Industrial Production Managers', 'INDIA']
['Educational Services', 'Certified', '37212', 'BELMONT UNIVERSITY', 'Mathematical Science Teachers, Postsecondary', 'CYPRUS']
['Advanced Mfg', 'Certified', '37214', 'BRIDGESTONE AMERICAS, INC.', 'Materials Engineers', 'CANADA']
['Retail', 'Certified', '37211', 'SAN ANTONIO CORPORATION', 'First-Line Supervisors of Retail Sales Workers', 'GUATEMALA']
['Educational Services', 'Certified', '37205', 'MONTGOMERY BELL ACADEMY OF THE UNIVERSTIY OF NASHV', 'Secondary School Teachers, Except Special and Career/Technical Education', 'UNITED KINGDOM']
['Advanced Mfg', 'Certified', '37214', 'CUMMINS FILTRATION INC.', 'Mechanical Engineers', 'INDIA']
['Finance', 'Certified', '37214', 'EMDEON BUSINESS SERVICES LLC', 'Computer and Information Systems Managers', 'INDIA']
['Other Economic Sector', 'Certified', '37203', 'HCA MANAGEMENT SERVICES LP', 'Software Developers, Applications', 'PAKISTAN']
['Aerospace', 'Certified', '37203', 'LOGAN PATRI ENGINEERING, INC.', 'Civil Engineers', 'INDIA']
['', 'Denied', '37209', 'KIMS ALTERATIONS INC', 'Tailors, Dressmakers, and Custom Sewers', 'SOUTH KOREA']
['Other Economic Sector', 'Denied', '37203', 'HCA MANAGEMENT SERVICES LP', 'Computer Programmers', 'INDIA']
['Other Economic Sector', 'Denied', '37203', 'SITEL CORPORATION', 'Computer Systems Analysts', 'CANADA']
['IT', 'Denied', '37214', "KIRKLAND'S INC", 'Software Developers, Applications', 'INDIA']
['IT', 'Denied', '37203', 'HEALTHSTREAM, INC.', 'Software Developers, Applications', 'INDIA']
['Aerospace', 'Denied', '37204', 'SMITH, SECKMAN, REID, INC.', 'Mechanical Engineers', 'CANADA']
['', 'Denied', '37211', 'GUZMAN & CURIEL INC', 'Purchasing Managers', 'VENEZUELA']
['', 'Withdrawn', '37211', 'ASURION', 'Computer Systems Analysts', 'INDIA']
['Finance', 'Withdrawn', '37214', 'EMDEON BUSINESS SERVICES LLC', 'Software Developers, Applications', 'INDIA']
['Finance', 'Withdrawn', '37211', 'LEGALBILL', 'Software Developers, Applications', 'INDIA']